,Name,City,Country,IATA,ICAO
883,Bamenda Airport,Bamenda,Cameroon,BPC,FKKV
884,Yaoundé Airport,Yaounde,Cameroon,YAO,FKKY
885,Kasompe Airport,Kasompe,Zambia,CGJ,FLKE
886,Livingstone Airport,Livingstone,Zambia,LVI,FLLI
887,Kenneth Kaunda International Airport Lusaka,Lusaka,Zambia,LUN,FLLS
888,Mfuwe Airport,Mfuwe,Zambia,MFU,FLMF
889,Mongu Airport,Mongu,Zambia,MNR,FLMG
890,Simon Mwansa Kapwepwe International Airport,Ndola,Zambia,NLA,FLND
891,Southdowns Airport,Southdowns,Zambia,KIW,FLSO
892,Prince Said Ibrahim International Airport,Moroni,Comoros,HAH,FMCH
893,Mohéli Bandar Es Eslam Airport,Moheli,Comoros,NWA,FMCI
894,Ouani Airport,Anjouan,Comoros,AJN,FMCV
895,Dzaoudzi Pamandzi International Airport,Dzaoudzi,Mayotte,DZA,FMCZ
896,Roland Garros Airport,St.-denis,Reunion,RUN,FMEE
897,Pierrefonds Airport,St.-pierre,Reunion,ZSE,FMEP
898,Ivato Airport,Antananarivo,Madagascar,TNR,FMMI
899,Miandrivazo Airport,Miandrivazo,Madagascar,ZVA,FMMN
900,Sainte Marie Airport,Sainte Marie,Madagascar,SMS,FMMS
901,Toamasina Airport,Toamasina,Madagascar,TMM,FMMT
902,Morondava Airport,Morondava,Madagascar,MOQ,FMMV
903,Arrachart Airport,Antsiranana,Madagascar,DIE,FMNA
904,Mananara Nord Airport,Mananara,Madagascar,WMR,FMNC
905,Andapa Airport,Andapa,Madagascar,ZWA,FMND
906,Ambilobe Airport,Ambilobe,Madagascar,AMB,FMNE
907,Antsirabato Airport,Antalaha,Madagascar,ANM,FMNH
908,Analalava Airport,Analalava,Madagascar,HVA,FMNL
909,Amborovy Airport,Mahajanga,Madagascar,MJN,FMNM
910,Fascene Airport,Nosy-be,Madagascar,NOS,FMNN
911,Besalampy Airport,Besalampy,Madagascar,BPY,FMNQ
912,Maroantsetra Airport,Maroantsetra,Madagascar,WMN,FMNR
913,Sambava Airport,Sambava,Madagascar,SVB,FMNS
914,Vohimarina Airport,Vohemar,Madagascar,VOH,FMNV
915,Ambalabe Airport,Antsohihy,Madagascar,WAI,FMNW
916,Ampampamena Airport,Ampampamena,Madagascar,IVA,FMNZ
917,Tôlanaro Airport,Tolagnaro,Madagascar,FTU,FMSD
918,Fianarantsoa Airport,Fianarantsoa,Madagascar,WFI,FMSF
919,Farafangana Airport,Farafangana,Madagascar,RVA,FMSG
920,Manakara Airport,Manakara,Madagascar,WVK,FMSK
921,Mananjary Airport,Mananjary,Madagascar,MNJ,FMSM
922,Morombe Airport,Morombe,Madagascar,MXM,FMSR
923,Toliara Airport,Toliara,Madagascar,TLE,FMST
924,Mbanza Congo Airport,M'banza-congo,Angola,SSY,FNBC
925,Benguela Airport,Benguela,Angola,BUG,FNBG
926,Cabinda Airport,Cabinda,Angola,CAB,FNCA
927,Nova Lisboa Airport,Huambo,Angola,NOV,FNHU
928,Kuito Airport,Kuito,Angola,SVP,FNKU
929,Lobito Airport,Lobito,Angola,\N,FNLB
930,Quatro de Fevereiro Airport,Luanda,Angola,LAD,FNLU
931,Malanje Airport,Malanje,Angola,MEG,FNMA
932,Menongue Airport,Menongue,Angola,SPP,FNME
933,Negage Airport,Negage,Angola,GXG,FNNG
934,Porto Amboim Airport,Porto Amboim,Angola,PBN,FNPA
935,Saurimo Airport,Saurimo,Angola,VHC,FNSA
936,Soyo Airport,Soyo,Angola,SZA,FNSO
937,Lubango Airport,Lubango,Angola,SDD,FNUB
938,Luena Airport,Luena,Angola,LUO,FNUE
939,Uige Airport,Uige,Angola,UGO,FNUG
940,Xangongo Airport,Xangongo,Angola,XGN,FNXA
941,Oyem Airport,Oyem,Gabon,OYE,FOGO
942,Okondja Airport,Okondja,Gabon,OKN,FOGQ
943,Lambarene Airport,Lambarene,Gabon,LBQ,FOGR
944,Bitam Airport,Bitam,Gabon,BMM,FOOB
945,Port Gentil Airport,Port Gentil,Gabon,POG,FOOG
946,Omboue Hopital Airport,Omboue Hospial,Gabon,OMB,FOOH
947,Makokou Airport,Makokou,Gabon,MKU,FOOK
948,Libreville Leon M'ba International Airport,Libreville,Gabon,LBV,FOOL
949,M'Vengue El Hadj Omar Bongo Ondimba International Airport,Franceville,Gabon,MVB,FOON
950,Principe Airport,Principe,Sao Tome and Principe,PCP,FPPR
951,São Tomé International Airport,Sao Tome,Sao Tome and Principe,TMS,FPST
952,Beira Airport,Beira,Mozambique,BEW,FQBR
953,Inhambane Airport,Inhambane,Mozambique,INH,FQIN
954,Lichinga Airport,Lichinga,Mozambique,VXC,FQLC
955,Lumbo Airport,Lumbo,Mozambique,LFB,FQLU
956,Maputo Airport,Maputo,Mozambique,MPM,FQMA
957,Mueda Airport,Mueda,Mozambique,MUD,FQMD
958,Mocímboa da Praia Airport,Mocimboa Da Praia,Mozambique,MZB,FQMP
959,Marrupa Airport,Marrupa,Mozambique,\N,FQMR
960,Nacala Airport,Nacala,Mozambique,MNC,FQNC
961,Nampula Airport,Nampula,Mozambique,APL,FQNP
962,Pemba Airport,Pemba,Mozambique,POL,FQPB
963,Quelimane Airport,Quelimane,Mozambique,UEL,FQQL
964,Songo Airport,Songo,Mozambique,\N,FQSG
965,Chingozi Airport,Tete,Mozambique,TET,FQTT
966,Ulongwe Airport,Ulongwe,Mozambique,\N,FQUG
967,Vilankulo Airport,Vilankulu,Mozambique,VNX,FQVL
968,Alphonse Airport,Alphonse,Seychelles,\N,FSAL
969,Desroches Airport,Desroches,Seychelles,DES,FSDR
970,Farquhar Airport,Farquhar,Seychelles,\N,FSFA
971,Seychelles International Airport,Mahe,Seychelles,SEZ,FSIA
972,Praslin Airport,Praslin,Seychelles,PRI,FSPP
973,Coetivy Airport,Coetivy,Seychelles,\N,FSSC
974,Abeche Airport,Abeche,Chad,AEH,FTTC
975,Moundou Airport,Moundou,Chad,MQQ,FTTD
976,N'Djamena International Airport,N'djamena,Chad,NDJ,FTTJ
977,Faya Largeau Airport,Faya-largeau,Chad,FYT,FTTY
978,Joshua Mqabuko Nkomo International Airport,Bulawayo,Zimbabwe,BUQ,FVBU
979,Charles Prince Airport,Harare,Zimbabwe,\N,FVCP
980,Buffalo Range Airport,Chiredzi,Zimbabwe,BFO,FVCZ
981,Victoria Falls International Airport,Victoria Falls,Zimbabwe,VFA,FVFA
982,Robert Gabriel Mugabe International Airport,Harare,Zimbabwe,HRE,FVHA
983,Kariba International Airport,Kariba,Zimbabwe,KAB,FVKB
984,Mutoko Airport,Mutoko,Zimbabwe,\N,FVMT
985,Mutare Airport,Mutare,Zimbabwe,UTA,FVMU
