,Name,City,Country,IATA,ICAO
2132,Risalpur Air Base,Risalpur,Pakistan,\N,OPRS
2133,Rawalakot Airport,Rawala Kot,Pakistan,RAZ,OPRT
2134,Sukkur Airport,Sukkur,Pakistan,SKZ,OPSK
2135,Saidu Sharif Airport,Saidu Sharif,Pakistan,SDT,OPSS
2136,Sui Airport,Sui,Pakistan,SUL,OPSU
2137,Talhar Airport,Talhar,Pakistan,BDN,OPTH
2138,Wana Airport,Wana,Pakistan,WAF,OPWN
2139,Zhob Airport,Zhob,Pakistan,PZH,OPZB
2140,Basrah International Airport,Basrah,Iraq,BSR,ORMM
2141,Aleppo International Airport,Aleppo,Syria,ALP,OSAP
2142,Damascus International Airport,Damascus,Syria,DAM,OSDI
2143,Deir ez-Zor Air Base,Deire Zor,Syria,DEZ,OSDZ
2144,Bassel Al-Assad International Airport,Latakia,Syria,LTK,OSLK
2145,Palmyra Airport,Palmyra,Syria,PMS,OSPR
2146,Doha International Airport,Doha,Qatar,DIA,OTBD
2148,Rota International Airport,Rota,Northern Mariana Islands,ROP,PGRO
2149,Saipan International Airport,Saipan,Northern Mariana Islands,SPN,PGSN
2150,Andersen Air Force Base,Andersen,Guam,UAM,PGUA
2151,Antonio B. Won Pat International Airport,Agana,Guam,GUM,PGUM
2152,Tinian International Airport,West Tinian,Northern Mariana Islands,TIQ,PGWT
2153,Marshall Islands International Airport,Majuro,Marshall Islands,MAJ,PKMJ
2154,Dyess Army Air Field,Kwajalein,Marshall Islands,\N,PKRO
2155,Bucholz Army Air Field,Kwajalein,Marshall Islands,KWA,PKWA
2157,Henderson Field,Midway,Midway Islands,MDY,PMDY
2158,Chuuk International Airport,Chuuk,Micronesia,TKK,PTKK
2159,Pohnpei International Airport,Pohnpei,Micronesia,PNI,PTPN
2160,Babelthuap Airport,Babelthuap,Palau,ROR,PTRO
2161,Kosrae International Airport,Kosrae,Micronesia,KSA,PTSA
2162,Yap International Airport,Yap,Micronesia,YAP,PTYA
2163,Kinmen Airport,Kinmen,Taiwan,KNH,RCBS
2164,Pingtung South Airport,Pingtung,Taiwan,\N,RCDC
2165,Longtan Air Base,Longtang,Taiwan,\N,RCDI
2166,Taitung Airport,Fengnin,Taiwan,TTT,RCFN
2167,Lyudao Airport,Green Island,Taiwan,GNI,RCGI
2168,Kaohsiung International Airport,Kaohsiung,Taiwan,KHH,RCKH
2169,Chiayi Airport,Chiayi,Taiwan,CYI,RCKU
2170,Lanyu Airport,Lanyu,Taiwan,KYD,RCLY
2171,Taichung Ching Chuang Kang Airport,Taichung,Taiwan,RMQ,RCMQ
2172,Tainan Airport,Tainan,Taiwan,TNN,RCNN
2173,Hsinchu Air Base,Hsinchu,Taiwan,HSZ,RCPO
2174,Makung Airport,Makung,Taiwan,MZG,RCQC
2175,Chihhang Air Base,Taitung,Taiwan,\N,RCQS
2176,Pingtung North Airport,Pingtung,Taiwan,PIF,RCSQ
2177,Taipei Songshan Airport,Taipei,Taiwan,TSA,RCSS
2178,Taiwan Taoyuan International Airport,Taipei,Taiwan,TPE,RCTP
2179,Wang-an Airport,Wang An,Taiwan,WOT,RCWA
2180,Hualien Airport,Hualien,Taiwan,HUN,RCYU
2181,Narita International Airport,Tokyo,Japan,NRT,RJAA
2182,Matsumoto Airport,Matsumoto,Japan,MMJ,RJAF
2183,Hyakuri Airport,Ibaraki,Japan,IBR,RJAH
2184,Minami Torishima Airport,Minami Tori Shima,Japan,MUS,RJAM
2185,Iwo Jima Airport,Iwojima,Japan,IWO,RJAW
2186,Nanki Shirahama Airport,Nanki-shirahama,Japan,SHM,RJBD
2187,Kohnan Airport,Kohnan,Japan,\N,RJBK
2188,Tokachi-Obihiro Airport,Obihiro,Japan,OBO,RJCB
2189,New Chitose Airport,Sapporo,Japan,CTS,RJCC
2190,Hakodate Airport,Hakodate,Japan,HKD,RJCH
2191,Chitose Air Base,Chitose,Japan,\N,RJCJ
2192,Memanbetsu Airport,Memanbetsu,Japan,MMB,RJCM
2193,Nakashibetsu Airport,Nakashibetsu,Japan,SHB,RJCN
2194,Tokachi Airport,Tokachi,Japan,\N,RJCT
2195,Wakkanai Airport,Wakkanai,Japan,WKJ,RJCW
2196,Iki Airport,Iki,Japan,IKI,RJDB
2197,Yamaguchi Ube Airport,Yamaguchi,Japan,UBJ,RJDC
2198,Tsushima Airport,Tsushima,Japan,TSJ,RJDT
2199,Monbetsu Airport,Monbetsu,Japan,MBE,RJEB
2200,Asahikawa Airport,Asahikawa,Japan,AKJ,RJEC
2201,Okushiri Airport,Okushiri,Japan,OIR,RJEO
2202,Rishiri Airport,Rishiri Island,Japan,RIS,RJER
2203,Ashiya Airport,Ashiya,Japan,\N,RJFA
2204,Yakushima Airport,Yakushima,Japan,KUM,RJFC
2205,Fukue Airport,Fukue,Japan,FUJ,RJFE
2206,Fukuoka Airport,Fukuoka,Japan,FUK,RJFF
2207,New Tanegashima Airport,Tanegashima,Japan,TNE,RJFG
2208,Kagoshima Airport,Kagoshima,Japan,KOJ,RJFK
2209,Miyazaki Airport,Miyazaki,Japan,KMI,RJFM
